,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__max_features,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_components,nrmse
56,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,5.3366992312063015,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.306573490260349
57,passthrough,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,,,,,,0.9748663538603806
58,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.0,0.05,31.0,20.0,,0.9590355635223774
59,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.001,0.05,31.0,20.0,,0.9596624339167394
60,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.001,0.1,31.0,20.0,,0.9658961165365255
61,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.0,0.05,31.0,20.0,,0.9621594297129367
62,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.001,0.05,31.0,20.0,,0.962010288566107
63,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.001,0.1,31.0,20.0,,0.9695301874735033
64,mad_scaling_clipping_channel_trial,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,4.0,0.9694303435535023
65,passthrough,power_phase_temporal,Ridge,0.006579332246575682,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.0726115887943417
66,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,1e-08,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.3064370659859197
67,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,4328.7612810830615,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.1973443879611676
68,mad_scaling_clipping_channel_trial,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,,,,,,0.9743400709332182
69,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.0,0.1,31.0,20.0,,0.9638999790526095
70,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.001,0.05,31.0,20.0,,0.9584699633573435
71,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.001,0.1,31.0,20.0,,0.9658851524462054
72,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.0,0.1,31.0,20.0,,0.9686511048333218
73,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.001,0.05,31.0,20.0,,0.9620999481993916
74,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.001,0.1,31.0,20.0,,0.9710701362243589
75,mad_scaling_clipping_channel_trial,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,16.0,1.007032381963372
